Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mt Pleasant Parkette,0.00,Square feet,100,"10,358.71588",kWh,,,"1,082.48581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Muirhead Park,0.00,Square feet,100,"11,158.14824",kWh,,,"1,166.02649",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Murison Woods Park,0.00,Square feet,100,"4,646.21462",kWh,,,485.52943,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neilson Park,"3,251.00",Square feet,100,"158,419.12141",kWh,"5,027.94226",Cubic meter,"26,060.76157",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
North Humber Park Lighting,0.00,Square feet,100,103.51684,kWh,,,10.81751,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Northwood Park,850.00,Square feet,100,"18,554.98603",kWh,,,"1,938.99604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Norwood Park,"1,905.00",Square feet,100,"8,099.54095",kWh,"6,130.03706",Cubic meter,"12,436.01560",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Olympic Island Buildings,"4,725.00",Square feet,100,"45,507.34727",kWh,,,"4,755.51465",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Oriole Park WR,377.00,Square feet,100,"10,165.56490",kWh,,,"1,062.30153",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Osler Playground,183.00,Square feet,100,"8,159.59564",kWh,,,852.67774,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Otter Creek Park,"3,035.00",Square feet,100,"264,457.42915",kWh,,,"27,635.80135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ourland Pool (outdoor),"1,098.00",Square feet,100,"51,565.84925",kWh,,,"5,376.07783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pantry Park / Beaches Park,"7,373.00",Square feet,100,"87,192.28814",kWh,,,"9,111.59411",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pape Ave Playground,0.00,Square feet,100,"7,817.82809",kWh,,,816.96304,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Parklawn Pool/Rink,"5,210.00",Square feet,100,"673,036.63750",kWh,"36,762.48103",Cubic meter,"139,836.46783",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth Ave Square,0.00,Square feet,100,"2,727.25127",kWh,,,284.99776,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Perth Square Park WR,560.00,Square feet,100,"3,528.29941",kWh,,,368.70729,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phin Ave Parkette,0.00,Square feet,100,"6,735.70353",kWh,,,703.88102,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Point C.C & Pool,"17,265.00",Square feet,100,"47,747.97291",kWh,,,"4,989.66317",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Point Park,"24,197.00",Square feet,100,"36,042.59588",kWh,,,"5,818.28581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Point Park,0.00,Square feet,100,"19,632.72000",kWh,,,"5,818.28581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Pine Point Park Tennis,"1,755.00",Square feet,100,"2,035.66587",kWh,,,212.72708,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Poplar Plains Parkette,0.00,Square feet,100,"1,363.40286",kWh,,,142.47560,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Port Union Village Comm Park,"15,300.00",Square feet,100,"23,386.70128",kWh,,,"2,443.91028",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prairie Drive Park,0.00,Square feet,100,"4,577.10500",kWh,,,478.30747,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Prince Of Wales Rink (outdoor),"1,970.00",Square feet,100,"226,182.67707",kWh,"8,810.88235",Cubic meter,"40,294.18182",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Queensway Rink,0.00,Square feet,100,"136,811.76098",kWh,"8,683.95321",Cubic meter,"30,714.94543",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ramsden Park,"3,434.00",Square feet,100,"220,203.15721",kWh,"9,617.01075",Cubic meter,"41,164.10155",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent Park North Rink,"2,153.00",Square feet,100,"275,391.06667",kWh,,,"28,778.36647",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Regent Park South Rink,"2,519.00",Square feet,100,"241,529.72867",kWh,,,"25,224.17696",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennie Park /Ice Rink,0.00,Square feet,100,"441,157.79482",kWh,,,"46,100.98956",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rennie Park /Tennis,0.00,Square feet,100,"101,889.33146",kWh,,,"10,647.43514",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richmond Gardens Pool (outdoor),"2,594.00",Square feet,100,"50,437.97647",kWh,,,"5,270.77862",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Richview Park,0.00,Square feet,100,"10,975.36824",kWh,,,"1,146.92598",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rivercrest Rink,495.00,Square feet,100,"183,904.51088",kWh,,,"19,218.01595",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Park East,"23,401.00",Square feet,100,"484,048.72312",kWh,"52,880.23529",Cubic meter,"150,559.89043",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverdale Park West,0.00,Square feet,100,"270,788.81980",kWh,"3,886.69433",Cubic meter,"35,645.72092",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Riverview Gdns Park,0.00,Square feet,100,"18,388.62722",kWh,,,"1,921.61154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosedale Park,"4,575.00",Square feet,100,"226,931.00422",kWh,"1,237.32290",Cubic meter,"26,049.99835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rosethorn Park,0.00,Square feet,100,"5,260.61019",kWh,,,549.73376,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotary Peace Park,0.00,Square feet,100,"3,983.87000",kWh,,,"3,689.03308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotary Peace Park,"1,647.00",Square feet,100,"8,065.98475",kWh,"1,285.19441",Cubic meter,"3,689.03308",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rotary Pool (outdoor),"3,477.00",Square feet,100,"41,217.21320",kWh,,,"4,307.19878",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rouge Beach Park,"6,975.00",Square feet,100,"18,874.21824",kWh,,,"1,972.35581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roundhouse Park,0.00,Square feet,100,"26,575.02362",kWh,,,"2,855.05010",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rowntree Mills Park,"1,389.00",Square feet,100,"84,699.35014",kWh,,,"8,851.08209",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roxborough Parkette,0.00,Square feet,100,"14,908.13389",kWh,,,"1,552.60236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Royalcrest Rink (outdoor),"2,508.00",Square feet,100,"163,694.15730",kWh,,,"17,106.03944",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Roywood A.I.R,"2,303.00",Square feet,100,"107,755.81912",kWh,,,"11,260.48310",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ruddington Park,0.00,Square feet,100,"8,923.36000",kWh,,,932.49112,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Runnymede Park,0.00,Square feet,100,"25,344.35204",kWh,,,"2,648.48479",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ryerson Community Park,"1,421.00",Square feet,100,"206,471.80994",kWh,,,"21,576.30414",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
SADRA Park,0.00,Square feet,100,453.75555,kWh,,,47.41746,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Salem Parkette,0.00,Square feet,100,"49,403.75342",kWh,,,"5,162.69223",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough Bluffs,97.00,Square feet,100,"6,055.76235",kWh,,,632.82717,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarborough Village Fieldhouse,0.00,Square feet,100,"19,311.16271",kWh,,,"2,018.01552",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Scarlett Woods Golf Course,"3,348.00",Square feet,100,"37,078.37965",kWh,"8,677.93219",Cubic meter,"20,274.90917",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seneca Hill Park,0.00,Square feet,100,"6,672.13529",kWh,,,697.23814,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sentinel Park Baseball,"2,443.00",Square feet,100,"14,353.03344",kWh,,,"1,499.89199",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Seven Oaks Tennis,0.00,Square feet,100,"12,845.85142",kWh,,,"1,342.39147",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sherwood Park,"5,909.00",Square feet,100,"108,040.09157",kWh,,,"11,290.18961",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Adam Beck Rink,"2,196.00",Square feet,100,"195,122.64643",kWh,"5,525.93059",Cubic meter,"30,837.79012",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sir Winston Churchill Pk,0.00,Square feet,100,"60,044.65211",kWh,"6,004.38988",Cubic meter,"17,626.72777",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smithfield Pool (outdoor),850.00,Square feet,100,"19,308.34011",kWh,,,"2,017.72154",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smythe Park,"3,000.00",Square feet,100,"139,395.57815",kWh,,,"14,566.83792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spadina Road Parkette,0.00,Square feet,100,"5,908.23905",kWh,,,617.41098,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Spenvalley Park T.C,0.00,Square feet,100,"1,991.49059",kWh,,,208.10653,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Andrew's Playground,194.00,Square feet,100,"10,700.89235",kWh,,,"1,118.24325",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
St Jamestown West Park,0.00,Square feet,100,"1,818.06476",kWh,,,189.98777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stanley Park,"4,855.00",Square feet,100,"9,180.18567",kWh,"6,624.39338",Cubic meter,"13,483.58639",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Strathburn Park,0.00,Square feet,100,"2,467.40000",kWh,,,257.84330,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Summerlea Rink,0.00,Square feet,100,"144,689.87588",kWh,,,"15,120.09203",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnybrook Stable,"7,535.00",Square feet,100,"54,038.89030",kWh,"4,913.09358",Cubic meter,"14,935.89142",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnydale Rink (outdoor),"3,509.00",Square feet,100,"315,298.34912",kWh,"19,633.14400",Cubic meter,"70,067.62962",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sunnyside Park,"52,033.00",Square feet,100,"292,109.21855",kWh,"20,924.42760",Cubic meter,"70,085.70113",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Suydam Park Storage,194.00,Square feet,100,909.02841,kWh,,,94.99347,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sweeney Park,0.00,Square feet,100,"12,653.34485",kWh,,,"1,322.27454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Talbot Park Clubhouse,"2,820.00",Square feet,100,"16,647.71412",kWh,,,"1,739.68613",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tam O'shanter Golf Course,"4,489.00",Square feet,100,"124,485.13900",kWh,"18,183.78353",Cubic meter,"47,391.98163",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
The Mission Ground,0.00,Square feet,100,"2,272.41333",kWh,,,237.46719,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Riley Park,"2,777.00",Square feet,100,"17,154.88912",kWh,,,"3,383.00912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomas Riley Park,0.00,Square feet,100,"15,218.40390",kWh,,,"3,383.00912",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Thomson Memorial Park,0.00,Square feet,100,"188,355.30235",kWh,"6,914.19686",Cubic meter,"32,755.29636",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Three Valley Park,0.00,Square feet,100,"5,434.75315",kWh,,,567.93170,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Toronto Sculpture Garden,"8,773.00",Square feet,100,"21,715.35572",kWh,,,"2,269.25467",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Tournament Park Tennis,"1,259.00",Square feet,100,"19,179.82459",kWh,,,"2,004.29167",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Bellwoods Outdoor Rink,"1,001.00",Square feet,100,"168,567.78654",kWh,742.39175,Cubic meter,"19,018.92505",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Trinity Square Park,0.00,Square feet,100,"100,886.14783",kWh,,,"10,542.60245",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Valleyfield Rink (outdoor),0.00,Square feet,100,"146,149.93909",kWh,,,"15,272.68019",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Viewmount Park Tennis,"1,916.00",Square feet,100,"58,077.24418",kWh,,,"5,958.90450",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Vine Avenue Playground,0.00,Square feet,100,"5,497.65016",kWh,,,574.50444,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wanless Park,0.00,Square feet,100,"44,811.70138",kWh,171.12694,Cubic meter,"5,006.36000",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wards Island Buildings,0.00,Square feet,100,"17,249.93374",kWh,"3,271.40500",Cubic meter,"7,716.38424",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wedgewood Rink (outdoor),"1,550.00",Square feet,100,"171,365.93247",kWh,"2,698.95577",Cubic meter,"23,010.45732",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellesley Park,"23,000.00",Square feet,100,"12,287.41190",kWh,,,"1,284.03454",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wellesworth Park,0.00,Square feet,100,36.28000,kWh,,,3.79126,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Deane Park,0.00,Square feet,100,"19,175.04417",kWh,,,"2,003.79212",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Deane Pool (outdoor),"1,098.00",Square feet,100,"36,738.47798",kWh,,,"3,839.17095",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Humber Parkland,"1,163.00",Square feet,100,"41,331.27279",kWh,,,"4,319.11801",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Lodge Park,0.00,Square feet,100,5.19000,kWh,,,0.54236,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
West Mall Rink (outdoor),"5,726.00",Square feet,100,"464,488.83311",kWh,"28,039.83177",Cubic meter,"101,551.92935",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westgrove Pool (outdoor),"1,055.00",Square feet,100,"359,766.54000",kWh,,,"37,595.60134",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westmount Park,0.00,Square feet,100,259.91303,kWh,,,27.16091,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Weston Park,"3,250.00",Square feet,100,"128,870.97871",kWh,,,"13,467.01972",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westway Rink (outdoor),"3,714.00",Square feet,100,"240,873.90588",kWh,"20,370.71940",Cubic meter,"63,684.75526",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Westwood Park,0.00,Square feet,100,"2,933.92504",kWh,,,306.59517,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wexford Park,0.00,Square feet,100,"1,025.79247",kWh,,,107.19531,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wilket Creek Park,0.00,Square feet,100,"55,217.12477",kWh,,,"5,770.18954",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowdale Park Tennis,0.00,Square feet,100,"5,801.24204",kWh,,,606.22979,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Willowvale Park,0.00,Square feet,100,"24,627.43353",kWh,,,"2,573.56883",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Winchester Park North,0.00,Square feet,100,"1,818.06476",kWh,,,189.98777,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Wishing Well Park,0.00,Square feet,100,"52,926.62863",kWh,,,"5,530.83179",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Withrow Park,"6,835.00",Square feet,100,"9,845.98568",kWh,"9,301.19029",Cubic meter,"18,614.07236",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Withrow Park Ice Rink,452.00,Square feet,100,"300,614.05834",kWh,,,"31,414.18180",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woburn Ave Playground,0.00,Square feet,100,"1,340.67035",kWh,,,140.10005,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woburn Park,0.00,Square feet,100,"5,347.24010",kWh,,,558.78659,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbine Beach Park,"7,535.00",Square feet,100,"12,668.93057",kWh,,,"1,323.90324",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Woodbine Park,0.00,Square feet,100,"162,190.88212",kWh,,,"16,948.94718",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
York Mills Valley Park,0.00,Square feet,100,"28,930.11882",kWh,,,"3,023.19742",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zooview Park,0.00,Square feet,100,"2,650.84000",kWh,,,277.01278,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
4 Market St,"8,288.00",Square feet,168,"10,823.93153",kWh,,,"1,131.10084",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Various TPA Locations Etobicoke,0.00,Square feet,168,"168,199.83046",kWh,,,"17,576.88228",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Garrison Road,0.00,Square feet,168,"5,969.79917",kWh,,,623.84401,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1 Norton Ave,"16,996.00",Square feet,168,"5,159.88422",kWh,,,539.20790,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
10 Arundel Ave,"11,496.00",Square feet,168,"5,885.36706",kWh,,,615.02086,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
110 Queen St W,"598,473.00",Square feet,168,"4,620,453.29806",kWh,"3,248.07152",Cubic meter,"488,978.26135",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1119 Queen St W,"7,352.00",Square feet,168,"3,225.31010",kWh,,,337.04491,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
115 Broadview Ave,"26,135.00",Square feet,168,"12,502.39494",kWh,,,"1,306.50027",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1155 King St W,0.00,Square feet,168,"26,294.41682",kWh,,,"2,747.76656",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
117 Hammersmith Ave,"9,171.00",Square feet,168,"4,790.02581",kWh,,,500.55770,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12 Woodycrest Ave,"14,198.00",Square feet,168,"2,933.69059",kWh,,,306.57067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
132 Wellington St W,0.00,Square feet,168,"1,028,220.16130",kWh,,,"107,449.00686",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1325 Queen St W,"12,303.00",Square feet,168,"12,423.19769",kWh,,,"1,298.22416",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
135 Greenlaw Ave,"13,197.00",Square feet,168,"4,271.13776",kWh,,,446.33390,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14 Castlefield Ave,"37,620.00",Square feet,168,"38,931.38643",kWh,,,"4,068.32988",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
146 Harrison St,"15,812.00",Square feet,168,"5,104.72368",kWh,,,533.44362,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
149 Hiawatha Rd,"1,399.00",Square feet,168,"3,984.14376",kWh,,,416.34302,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15 Wellesley St E,"41,603.00",Square feet,168,"37,494.48427",kWh,,,"3,918.17361",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Fuller Ave,"19,547.00",Square feet,168,"5,326.74768",kWh,,,556.64513,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16 Rosehill Ave,0.00,Square feet,168,"1,215,762.46226",kWh,,,"127,047.17731",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1608 Danforth Ave,"8,708.00",Square feet,168,"3,546.50000",kWh,,,370.60925,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Ferrier Ave,"6,900.00",Square feet,168,"2,957.81353",kWh,,,309.09151,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18 Ossington Ave,"6,469.00",Square feet,168,"5,517.44846",kWh,,,576.57336,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2 Church St,"125,023.00",Square feet,168,"2,526,573.01871",kWh,,,"264,026.88046",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Augusta Ave,0.00,Square feet,168,"13,491.68477",kWh,,,"1,409.88106",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Castle Knock Rd,0.00,Square feet,168,"11,796.26516",kWh,,,"1,232.70971",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Charles St E,0.00,Square feet,168,"964,782.09290",kWh,"25,628.14727",Cubic meter,"149,272.99589",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20 Saint Andrews St,0.00,Square feet,168,"1,267,311.84613",kWh,,,"132,434.08792",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21 Bedford Park Ave,0.00,Square feet,168,"4,474.27892",kWh,,,467.56215,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22 Glendonwynne Rd,0.00,Square feet,168,"8,552.93901",kWh,,,893.78213,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23 Chester Ave,0.00,Square feet,168,"5,896.60000",kWh,,,616.19470,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
230 Medland St,0.00,Square feet,168,"8,306.68670",kWh,,,868.04876,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2454 Bloor St W,0.00,Square feet,168,454.17179,kWh,,,47.46095,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25 Glenforest Rd,0.00,Square feet,168,"3,097.30711",kWh,,,323.66859,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
