Operation Name,Total Floor Area,,Avg hrs/week,Electricity,,Natural Gas,,"GHG Emissions
(Kg)",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East Scar Boys/Girls Club,"13,972.00",Square feet,100,"314,286.98323",kWh,"58,635.06177",Cubic meter,"143,700.02067",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
East York Community Centre,"31,000.00",Square feet,100,"454,253.18294",kWh,"119,058.44412",Cubic meter,"272,551.19920",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Eastview Neighbourhood Comm Ctr,"25,510.00",Square feet,100,"364,633.31000",kWh,"35,678.79098",Cubic meter,"105,559.46645",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Edithvale C.C,"24,725.00",Square feet,100,"626,196.63935",kWh,"51,598.74424",Cubic meter,"162,991.52784",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ellesmere C.C,"24,402.00",Square feet,100,"221,514.28294",kWh,"31,806.29412",Cubic meter,"83,282.08100",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Elmbank Community Centre,"14,725.00",Square feet,100,"233,387.56633",kWh,"26,011.96588",Cubic meter,"73,009.96477",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fairbank Memorial R.C.,"19,364.00",Square feet,100,"305,430.01479",kWh,"35,020.45825",Cubic meter,"98,470.45910",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Falstaff C.C,"13,853.00",Square feet,100,"142,269.19966",kWh,"28,055.50089",Cubic meter,"67,909.61885",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Flemingdon C.C,"10,000.00",Square feet,100,"102,625.03353",kWh,"23,355.65472",Cubic meter,"54,844.01955",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Forest Hill C.C,"32,841.00",Square feet,100,"655,767.51258",kWh,"48,390.67623",Cubic meter,"160,016.42409",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Franklin Horner,"39,500.00",Square feet,100,"273,014.82473",kWh,"102,857.83019",Cubic meter,"222,927.56295",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Glenlong C.C & A.I.R,"10,236.00",Square feet,100,"325,055.38383",kWh,"40,078.12770",Cubic meter,"109,741.07795",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harbourfront Community Centre,"123,214.00",Square feet,100,"1,116,426.15671",kWh,"117,124.71600",Cubic meter,"338,105.68381",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Harwood Hall Community Ctr,"4,306.00",Square feet,100,"16,671.72920",kWh,"9,251.40188",Cubic meter,"19,287.67604",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Heron Park C.C,"52,377.00",Square feet,100,"1,066,571.42226",kWh,"105,314.53438",Cubic meter,"310,567.21581",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Jenner Jean-Marie C.C.,"13,207.00",Square feet,100,"171,585.54543",kWh,"31,735.58891",Cubic meter,"77,930.85075",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
John Innes C.C,"24,176.00",Square feet,100,"395,725.48589",kWh,"90,255.50468",Cubic meter,"211,851.99030",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lamp Senior Centre,"26,318.00",Square feet,100,"493,961.31988",kWh,"41,482.74236",Cubic meter,"130,161.22023",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Lawrence Heights C.C.,"22,152.00",Square feet,100,"213,764.48231",kWh,"51,986.26513",Cubic meter,"120,625.02489",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Ledbury Community Center,"5,780.00",Square feet,100,"146,549.04371",kWh,"16,350.19000",Cubic meter,"46,230.15032",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Leslie Grove Park,"1,389.00",Square feet,100,"4,727.32063",kWh,"2,769.19975",Cubic meter,"5,729.52882",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Main Square Comm Ctr,"35,123.00",Square feet,100,"562,055.34007",kWh,"96,733.23150",Cubic meter,"241,621.24231",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Masaryk-Cowan C.R.C,"32,270.00",Square feet,100,"674,623.65901",kWh,"41,438.02875",Cubic meter,"148,842.02835",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
McGregor Park C.C,"45,262.00",Square feet,100,"1,148,285.47324",kWh,"37,802.48370",Cubic meter,"193,701.38537",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Metro Track And Field,"96,337.00",Square feet,100,"591,704.61290",kWh,"109,474.90481",Cubic meter,"268,809.34290",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Mid-Scarborough C.C,"89,125.00",Square feet,100,"1,420,703.23323",kWh,"138,114.09694",Cubic meter,"409,585.72863",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
