Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,GHG Emissions
St Lawrence Market South,99114,Square feet,100,5398932.706,kWh,189752.5741,Cubic meter,"877,264.8"
The Guild Inn,13627,Square feet,100,72564.47419,kWh,12378.29866,Cubic meter,"30,371.8"
W.J. Morrish House,4047,Square feet,100,7868.790667,kWh,2605.701429,Cubic meter,"5,682.1"
William Goodwin House,1744,Square feet,100,32168.25294,kWh,4554.911765,Cubic meter,"11,701.1"
Zion Methodist Church,2002,Square feet,100,13402.94307,kWh,6636.301638,Cubic meter,"13,834.0"
Zion School House,1582,Square feet,100,24922.42022,kWh,3044.934597,Cubic meter,"8,150.4"
Algonguin Island Sewage Pumping Station,75,Square feet,168,12300.31279,kWh,,,"1,181.3"
Baby Point Sewage Pumping Station,0,Square feet,168,48960.84686,kWh,,,"4,702.2"
Berry Rd Sewage Pumping Station,7244,Square feet,168,32193.91667,kWh,,,"3,091.9"
Brule Gardens Sewage PS,151,Square feet,168,10482.24034,kWh,,,"1,006.7"
Carlingview Sewage Pumping Station,0,Square feet,168,27907.31762,kWh,,,"2,680.2"
Cumber Sewage Pumping Station,635,Square feet,168,180739.6022,kWh,,,"17,358.2"
Ellis Ave Sewage Pumping Station,0,Square feet,168,5098.536769,kWh,,,489.7
Fallingbrook Sewage Pumping Station,0,Square feet,168,6000.136571,kWh,,,576.3
Grand River Sewage Pumping Station,0,Square feet,168,3400.499999,kWh,,,326.6
Greyabbey Trail Sewage Pumping Station,1001,Square feet,168,39909.34273,kWh,,,"3,832.9"
High Park Valleymede Sewage Pumping Stn,0,Square feet,168,79435.43103,kWh,,,"7,629.0"
Highfield Sewage Pumping Station,0,Square feet,168,182.75,kWh,,,17.6
Humber Sewage Pumping Station,0,Square feet,168,11003.89516,kWh,,,"1,056.8"
Island Rd Sewage Pumping Station,0,Square feet,168,13181.81946,kWh,,,"1,266.0"
Keelesdale Park - Water Pumping Station,0,Square feet,168,68807.94497,kWh,,,"6,608.3"
Kennedy Park Sewage PS,151,Square feet,168,18296.08824,kWh,,,"1,757.2"
Kingston Rd Sewage Pumping Station,0,Square feet,168,138821.7929,kWh,,,"13,332.4"
Livingston Rd Sewage Pumping Station,0,Square feet,168,66251.9,kWh,,,"6,362.8"
Long Branch Sewage Pumping Station,3068,Square feet,168,167842.055,kWh,,,"16,119.6"
Lower Simcoe Pumping Station,0,Square feet,168,20994.42764,kWh,,,"2,016.3"
Martin Grove Sewage Pumping Station,0,Square feet,168,22937.29412,kWh,,,"2,202.9"
Midland Sewage Pumping Station,0,Square feet,168,103726.9338,kWh,,,"9,961.9"
Military Trail Sewage Pumping Station,0,Square feet,168,1814.266544,kWh,,,174.2
Mimico Sewage Pumping Station,4435,Square feet,168,684778.8024,kWh,,,"65,766.2"
New Toronto Pumping Station,2067,Square feet,168,227414.7787,kWh,,,"21,840.9"
Port Union Sewage Pumping Station,0,Square feet,168,66753.03391,kWh,,,"6,411.0"
Redlands Sewage Pumping Station,0,Square feet,168,109564.1827,kWh,,,"10,522.5"
Riverside Sewage Pumping Station,0,Square feet,168,2128.305882,kWh,,,204.4
Riverwood Sewage Pumping Station,0,Square feet,168,21123.78125,kWh,,,"2,028.7"
Scott St Sewage Pumping Station,0,Square feet,168,298375.991,kWh,,,"28,656.0"
Sewells Rd Sewage Pumping Station,0,Square feet,168,53369.70588,kWh,,,"5,125.6"
Silver Birch Ave Sewage Pumping Station,0,Square feet,168,309.984918,kWh,,,29.8
Strachan Sewage Pumping Station,0,Square feet,168,202878.1765,kWh,7981.906157,Cubic meter,"34,575.2"
Sunnyside Sewage Pumping Station,0,Square feet,168,128882.508,kWh,,,"12,377.9"
Swansea Sewage Pumping Station,527,Square feet,168,211790.8877,kWh,,,"20,340.4"
TO Ward's Island,0,Square feet,168,43937.5127,kWh,,,"4,219.8"
Warden Sewage Pumping Station,0,Square feet,168,23837.38326,kWh,,,"2,289.3"
Ward's Island Sewage Pumping Station,0,Square feet,168,2777.169935,kWh,,,266.7
Warren Park Sewage Pumping Station,0,Square feet,168,79398.34091,kWh,,,"7,625.4"
West Point Sewage Pumping Station,0,Square feet,168,782.88465,kWh,,,75.2
West Rouge Sewage Pumping Station,3229,Square feet,168,263914.4975,kWh,,,"25,346.3"
Western Beaches Tunnel Sewage Pumping Station,0,Square feet,168,1092548.645,kWh,,,"104,928.4"
Wirral Crt Sewage Pumping Station,0,Square feet,168,53762.02717,kWh,,,"5,163.3"
Armour Heights Pumping Station,5780,Square feet,168,2574546.377,kWh,,,"247,259.4"
Bayview Pumping Station,0,Square feet,168,38272.76613,kWh,1696.960228,Cubic meter,"6,884.0"
Eglinton Pumping Station,10075,Square feet,168,8381885.968,kWh,,,"804,996.3"
Ellesmere Pumping Station,6243,Square feet,168,22829052.74,kWh,,,"2,192,502.2"
High Level Pumping Station,46403,Square feet,168,9957415.881,kWh,,,"956,310.2"
John Street Pumping Stn,112773,Square feet,168,32618300.39,kWh,,,"3,132,661.6"
Keele Pumping Station,2745,Square feet,168,4725483.29,kWh,,,"453,835.4"
Kennedy Pumping Station,5360,Square feet,168,5693304.44,kWh,,,"546,785.0"
Lawrence Pumping Station,15629,Square feet,168,5226490.226,kWh,,,"501,952.1"
Milliken Pumping Station,0,Square feet,168,3611661,kWh,2.719264,Cubic meter,"346,869.1"
Parkdale Pumping Station,11227,Square feet,168,12338046.07,kWh,,,"1,184,945.9"
