Operation Name,Total Floor Area,,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Fire Station 122,3046,Square feet,168,40751.2404,kWh,19591.25714,Cubic meter,"37,886"
Fire Station 123,2497,Square feet,168,49714.19628,kWh,20145.74384,Cubic meter,"39,310"
Fire Station 125,5813,Square feet,168,90611.05955,kWh,12981.90252,Cubic meter,"27,973"
Fire Station 131,5845,Square feet,168,87574.35833,kWh,17945.89029,Cubic meter,"36,970"
Fire Station 132,7664,Square feet,168,89708.83427,kWh,23128.76988,Cubic meter,"46,603"
Fire Station 133,8062,Square feet,168,111476.9519,kWh,20930.95065,Cubic meter,"43,541"
Fire Station 134,7126,Square feet,168,44137.38148,kWh,19185.51682,Cubic meter,"37,292"
Fire Station 135,10592,Square feet,168,111874.1838,kWh,24328.19326,Cubic meter,"49,809"
Fire Station 141,12500,Square feet,168,132736.8038,kWh,51076.32972,Cubic meter,"99,967"
Fire Station 142,5586,Square feet,168,131000.8333,kWh,27683.3778,Cubic meter,"56,846"
Fire Station 143,2895,Square feet,168,73930.22904,kWh,20711.23191,Cubic meter,"41,443"
Fire Station 145,11001,Square feet,168,101692.5754,kWh,29569.48,Cubic meter,"58,994"
Fire Station 146,7535,Square feet,168,50706.44263,kWh,16760.25647,Cubic meter,"33,126"
Fire Station 211,5005,Square feet,168,118410.3062,kWh,11879.51414,Cubic meter,"27,199"
Fire Station 212,16501,Square feet,168,215487.0329,kWh,53628.27273,Cubic meter,"108,394"
Fire Station 213,5048,Square feet,168,55059.96651,kWh,16203.82759,Cubic meter,"32,298"
Fire Station 214,4887,Square feet,168,45380.96212,kWh,18697.55172,Cubic meter,"36,450"
Fire Station 215,5737,Square feet,168,57942.12405,kWh,19779.58467,Cubic meter,"39,008"
Fire Station 221,11915,Square feet,168,45363.384,kWh,31277.59,Cubic meter,"59,597"
Fire Station 222,6910,Square feet,168,49958.56018,kWh,18524.20628,Cubic meter,"36,338"
Fire Station 223,7459,Square feet,168,42533.02542,kWh,19128.69233,Cubic meter,"37,115"
Fire Station 224,3767,Square feet,168,54357.15194,kWh,10979.74332,Cubic meter,"22,654"
Fire Station 225,9085,Square feet,168,99695.13612,kWh,33173.39229,Cubic meter,"65,535"
Fire Station 226,11808,Square feet,168,52594.90735,kWh,31505.81782,Cubic meter,"60,343"
Fire Station 227,10484,Square feet,168,68238.58573,kWh,24612.57588,Cubic meter,"48,365"
Fire Station 231,14241,Square feet,168,139697.5832,kWh,42611.71826,Cubic meter,"84,706"
Fire Station 232,5350,Square feet,168,70057.30651,kWh,14749.78914,Cubic meter,"30,299"
Fire Station 233,11001,Square feet,168,72872.34371,kWh,25197.16176,Cubic meter,"49,649"
Fire Station 234,5350,Square feet,168,49934.7765,kWh,16036.57735,Cubic meter,"31,759"
Fire Station 235,8902,Square feet,168,99397.99129,kWh,25908.07955,Cubic meter,"52,154"
Fire Station 241,5500,Square feet,168,44865.353,kWh,11599.07686,Cubic meter,"23,366"
Fire Station 242,5500,Square feet,168,54469.90747,kWh,16509.04862,Cubic meter,"32,833"
Fire Station 243,5350,Square feet,168,55621.6874,kWh,20008.48035,Cubic meter,"39,324"
Fire Station 244,5350,Square feet,168,50136.62644,kWh,15044.71824,Cubic meter,"29,943"
Fire Station 245,5608,Square feet,168,42341.476,kWh,16067.324,Cubic meter,"31,473"
Fire Station 311,12755,Square feet,168,47020.28235,kWh,34481.39733,Cubic meter,"65,566"
Fire Station 312,9806,Square feet,168,103912.0264,kWh,28765.832,Cubic meter,"57,616"
Fire Station 313,12099,Square feet,168,145334.7408,kWh,39742.19159,Cubic meter,"79,680"
Fire Station 314,11937,Square feet,168,43158.00294,kWh,32383.50571,Cubic meter,"61,532"
Fire Station 315,7244,Square feet,168,101485.8293,kWh,25566.46649,Cubic meter,"51,619"
Fire Station 321,7535,Square feet,168,91872.62721,kWh,27454.0184,Cubic meter,"54,659"
Fire Station 322,7535,Square feet,168,40242.81213,kWh,21274.94118,Cubic meter,"40,961"
Fire Station 323,10236,Square feet,168,109227.3627,kWh,40421.90686,Cubic meter,"79,302"
Fire Station 324,13153,Square feet,168,64858.40557,kWh,31243.71412,Cubic meter,"60,414"
Fire Station 325,10129,Square feet,168,117922.0131,kWh,26364.34909,Cubic meter,"53,829"
Fire Station 331,10979,Square feet,168,82816.36854,kWh,29632.32353,Cubic meter,"58,258"
Fire Station 332,24865,Square feet,168,300343.684,kWh,67002.60125,Cubic meter,"136,830"
Fire Station 333,12723,Square feet,168,114195.5664,kWh,33810.8353,Cubic meter,"67,362"
Fire Station 334,13003,Square feet,168,387569.3354,kWh,26099.32449,Cubic meter,"65,502"
Fire Station 335,4402,Square feet,168,95367.5437,kWh,12503.00668,Cubic meter,"27,307"
Fire Station 341,9268,Square feet,168,84373.71278,kWh,29507.8562,Cubic meter,"58,100"
Fire Station 342,3057,Square feet,168,28215.17696,kWh,13345.91044,Cubic meter,"25,829"
Fire Station 343,9827,Square feet,168,45061.01727,kWh,32850.07794,Cubic meter,"62,476"
Fire Station 344,11238,Square feet,168,67377.24235,kWh,32602.91333,Cubic meter,"63,028"
Fire Station 345,12809,Square feet,168,113107.4755,kWh,49360.56531,Cubic meter,"95,925"
Fire Station 411,8762,Square feet,168,83342.8726,kWh,16596.44669,Cubic meter,"34,296"
Fire Station 412,7029,Square feet,168,76923.58778,kWh,22056.27442,Cubic meter,"44,053"
Fire Station 413,3929,Square feet,168,34736.62765,kWh,12742.72775,Cubic meter,"25,013"
Fire Station 415,7804,Square feet,168,71802.70481,kWh,16402.09803,Cubic meter,"33,418"
Fire Station 421,9461,Square feet,168,111658.7556,kWh,24248.64627,Cubic meter,"49,653"
Fire Station 422,7944,Square feet,168,60459.122,kWh,22294.99677,Cubic meter,"43,750"
Fire Station 423,12335,Square feet,168,95412.66124,kWh,28043.41288,Cubic meter,"55,903"
Fire Station 424,5866,Square feet,168,28102.99118,kWh,17454.52232,Cubic meter,"33,384"
Fire Station 425,7955,Square feet,168,39577.35318,kWh,11017.76471,Cubic meter,"22,058"
Fire Station 426,12486,Square feet,168,181705.9486,kWh,33989.98447,Cubic meter,"70,737"
Fire Station 431,3907,Square feet,168,34351.43594,kWh,10321.99927,Cubic meter,"20,542"
Fire Station 432,11765,Square feet,168,101367.6176,kWh,34569.08111,Cubic meter,"68,179"
Fire Station 433,5038,Square feet,168,99660.5251,kWh,13768.2246,Cubic meter,"29,828"
Fire Station 434,5188,Square feet,168,26846.17824,kWh,10437.38235,Cubic meter,"20,416"
Fire Station 435,6889,Square feet,168,82383.77895,kWh,14849.44249,Cubic meter,"31,038"
Fire Station 441,19472,Square feet,168,127451.3856,kWh,23357.44958,Cubic meter,"48,726"
Fire Station 442,15479,Square feet,168,197821.693,kWh,31689.02043,Cubic meter,"67,230"
Fire Station 443,3929,Square feet,168,36034.72976,kWh,12127.81171,Cubic meter,"23,940"
Fire Station 444,3929,Square feet,168,27563.00604,kWh,11124.98391,Cubic meter,"21,713"
Fire Station 445,11765,Square feet,168,127175.4132,kWh,24957.28647,Cubic meter,"51,657"
Fire Stn former TO #35,3143,Square feet,168,124389.3079,kWh,0,Cubic meter,"5,610"
Fire Training Centre,7998,Square feet,168,93123.08048,kWh,16743.93103,Cubic meter,"35,009"
HUSAR,11485,Square feet,168,256185.9949,kWh,35513.16123,Cubic meter,"76,898"
Rotherham Ave 15,23002,Square feet,168,175074.0513,kWh,28389.83871,Cubic meter,"60,133"
Toryork Office,42625,Square feet,168,681236.296,kWh,145436.5298,Cubic meter,"298,327"
Allan Gardens,25177,Square feet,168,180871.2587,kWh,172438.4606,Cubic meter,"325,444"
Centennial Greenhouse,29170,Square feet,168,266589.6226,kWh,254880.1968,Cubic meter,"481,003"
Cloud Gardens,6243,Square feet,168,118957.4529,kWh,0,Cubic meter,"65,136"
High Park Greenhouses,60386,Square feet,168,558630.4075,kWh,484606.9279,Cubic meter,"916,871"
Riverlea Greenhouse,17018,Square feet,168,108852.8808,kWh,69147.62854,Cubic meter,"132,141"
Rockcliffe GreenHouse,12271,Square feet,168,69861.45002,kWh,47081.64217,Cubic meter,"89,781"
Agincourt Arena and R.C,93398,Square feet,100,2141925.705,kWh,321197.4584,Cubic meter,"687,604"
Antibes Park,18492,Square feet,100,356084.494,kWh,59314.13882,Cubic meter,"125,197"
Bennington Heights Clubhouse,1432,Square feet,100,6505.257429,kWh,3694.241015,Cubic meter,"7,091"
Broadlands R.C & A.I.R,10667,Square feet,100,364270.4498,kWh,43199.49853,Cubic meter,"95,916"
