Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Viewmount Park Tennis,1916,Square feet,100,63399.10646,kWh,0,Cubic meter,"2,790"
Vine Avenue Playground,0,Square feet,100,5496.995534,kWh,0,Cubic meter,242
W Acres Senior Ctr,4994,Square feet,100,31637.16922,kWh,9228.163529,Cubic meter,"18,833"
W.H. Johnston Pumping Station,1744,Square feet,168,2566319.881,kWh,0,Cubic meter,"112,918"
Wadsworth Park,0,Square feet,100,3628.801212,kWh,0,Cubic meter,160
Wallace-Emerson C.C,51882,Square feet,100,1092260.904,kWh,107514.2802,Cubic meter,"251,261"
Wanless Park,0,Square feet,100,54812.26621,kWh,135,Cubic meter,"2,667"
Warden Ave Storm PS,462,Square feet,168,56376.38653,kWh,0,Cubic meter,"2,481"
Warden Hilltop C.C.,25995,Square feet,100,438987.0519,kWh,21655.24435,Cubic meter,"60,244"
Wards Island Buildings,0,Square feet,100,15154.40132,kWh,5334.10925,Cubic meter,"10,748"
Ward's Island Sewage Pumping Station,0,Square feet,168,3045.729752,kWh,0,Cubic meter,134
Warren Park Sewage Pumping Station,0,Square feet,168,82367.91063,kWh,0,Cubic meter,"3,624"
Water Revenue Office,14768,Square feet,70,176071.5243,kWh,17391.01387,Cubic meter,"40,616"
Waterfront Neighbourhood Centre,123214,Square feet,100,1160776.68,kWh,84452.3375,Cubic meter,"210,689"
Wedgewood Pool and Rink,2648,Square feet,100,175395.0268,kWh,15541.02977,Cubic meter,"37,090"
Wellesley Jarvis Office,52108,Square feet,70,1403434.042,kWh,0,Cubic meter,"61,751"
Wellesley Park,23000,Square feet,100,12412.59902,kWh,0,Cubic meter,546
Wellesworth Park,0,Square feet,100,565.492,kWh,0,Cubic meter,25
Wellington Yard & Office,2164,Square feet,70,95359.68988,kWh,0,Cubic meter,"4,196"
Wellington Yard & Storage,21269,Square feet,70,33286.46435,kWh,4021.847111,Cubic meter,"9,066"
Wesburn Manor,150867,Square feet,168,2148181.301,kWh,420053.2361,Cubic meter,"888,421"
West Deane Park,0,Square feet,100,18676.8,kWh,0,Cubic meter,822
West Deane Pool (outdoor),1098,Square feet,100,27185.42903,kWh,6438.793751,Cubic meter,"13,365"
West Humber Parkland,1163,Square feet,100,21268.30063,kWh,0,Cubic meter,936
West Mall Rink and Pool,9192,Square feet,100,463264.4828,kWh,39791.88768,Cubic meter,"95,590"
West Rouge C.C,24402,Square feet,100,214403.9882,kWh,27706.1871,Cubic meter,"61,798"
West Rouge Sewage Pumping Station,3229,Square feet,168,305178.6071,kWh,0,Cubic meter,"13,428"
West Scarborough N.C,25198,Square feet,100,301147.8135,kWh,117298.2776,Cubic meter,"234,944"
West Toronto Pumping Station,7739,Square feet,168,3936953.55,kWh,0,Cubic meter,"173,226"
Western Beaches Tunnel Storm Pumping Station,0,Square feet,168,782179.4223,kWh,0,Cubic meter,"34,416"
Western District Office,4844,Square feet,70,31740.14825,kWh,14084.16386,Cubic meter,"28,016"
Western Services Yard,4133,Square feet,70,34373.54554,kWh,12737.8187,Cubic meter,"25,587"
Westgrove Pool (outdoor),1055,Square feet,100,183233.5477,kWh,9369.471983,Cubic meter,"25,771"
Westmount Park,0,Square feet,100,1559.481357,kWh,0,Cubic meter,69
Westmount Pool (outdoor),1195,Square feet,100,0,0,3609,Cubic meter,"6,821"
Weston,11948,Square feet,70,151270.5943,kWh,10658.9825,Cubic meter,"26,801"
Weston Park,3250,Square feet,100,55143.4861,kWh,20434,Cubic meter,"41,047"
Westway Rink (outdoor),3714,Square feet,100,231847.2731,kWh,13456.74765,Cubic meter,"35,635"
Westwood Park,0,Square feet,100,4344.060782,kWh,0,Cubic meter,191
Wexford Park,0,Square feet,100,1446.037092,kWh,0,Cubic meter,64
Whitlam Warehouse,24865,Square feet,100,53867.96005,kWh,43821.35081,Cubic meter,"85,193"
Wigmore Park,0,Square feet,100,15832.10974,kWh,0,Cubic meter,697
Wilket Creek Park,0,Square feet,100,55369.24117,kWh,0,Cubic meter,"2,436"
William Goodwin House,1744,Square feet,100,30122.25062,kWh,6127.352449,Cubic meter,"12,906"
William H. Bolton Arena,22174,Square feet,100,828017.229,kWh,0,Cubic meter,"36,433"
Willowdale Lawn Bowling,2293,Square feet,100,54068.11871,kWh,9337.66,Cubic meter,"20,027"
Willowdale Park Tennis,0,Square feet,100,5839.354614,kWh,0,Cubic meter,257
Willowridge Childcare Centre,4844,Square feet,100,78243.3408,kWh,19294.61135,Cubic meter,"39,910"
Winchester Park North,0,Square feet,100,2227.212683,kWh,0,Cubic meter,98
Winter Maintenance Depot,12152,Square feet,70,375562.8687,kWh,23006.5625,Cubic meter,"60,007"
Wirral Crt Sewage Pumping Station,0,Square feet,168,68939.3276,kWh,0,Cubic meter,"3,033"
Wishing Well Park,0,Square feet,100,48090.92894,kWh,0,Cubic meter,"2,116"
Withrow Park,6835,Square feet,100,5784.896249,kWh,14695.72784,Cubic meter,"28,029"
Withrow Park Ice Rink,452,Square feet,100,303087.9123,kWh,0,Cubic meter,"13,336"
Woburn Ave Playground,0,Square feet,100,1036.009013,kWh,0,Cubic meter,46
Woburn Park,0,Square feet,100,1145.626957,kWh,0,Cubic meter,50
Women's Residence,28255,Square feet,168,541084.9865,kWh,58629.89099,Cubic meter,"134,618"
Woodbine Beach Park,7535,Square feet,100,27097.62496,kWh,0,Cubic meter,"1,192"
Woodbine Childcare Centre,4801,Square feet,100,58960.96803,kWh,10.615385,Cubic meter,"2,614"
Woodbine Park,0,Square feet,100,225306.972,kWh,0,Cubic meter,"9,914"
Woodside Square,9795,Square feet,70,150618.9593,kWh,14478.98355,Cubic meter,"33,993"
Woodview Park,5360,Square feet,70,51085.2343,kWh,3653.338653,Cubic meter,"9,153"
Woodward & Highland,0,Square feet,168,4002.095489,kWh,0,Cubic meter,176
WPC Service Chambers,0,Square feet,168,322560.9736,kWh,0,Cubic meter,"14,193"
WS Service Chambers,0,Square feet,168,177093.0467,kWh,0,Cubic meter,"7,792"
Wychwood,6383,Square feet,70,119391.5569,kWh,9331.975757,Cubic meter,"22,891"
Yonge & Eglinton Water Mtr 31,0,Square feet,168,3210.4065,kWh,0,Cubic meter,141
York Civic Center,72915,Square feet,70,1367941.7,kWh,110081.603,Cubic meter,"268,244"
York Mills Arena,23573,Square feet,100,402749.4873,kWh,21495.42314,Cubic meter,"58,347"
York Mills Valley Park,0,Square feet,100,41551.63485,kWh,0,Cubic meter,"1,828"
York Woods,42173,Square feet,70,731771.9,kWh,56033.23116,Cubic meter,"138,101"
Yorkville,9052,Square feet,70,199864.4739,kWh,21707.78905,Cubic meter,"49,822"
Zion Methodist Church,2002,Square feet,100,15921.37385,kWh,6579.39931,Cubic meter,"13,136"
Zion School House,1582,Square feet,100,16416.67602,kWh,3932.049655,Cubic meter,"8,154"
Zooview Park,0,Square feet,100,2664.383867,kWh,0,Cubic meter,117
NE District Office / Station #20,15887,Square feet,168,290192.7845,kWh,33591.31771,Cubic meter,"76,256"
Allan A Lamport Stadium,19688,Square feet,100,764256.4606,kWh,208584.1198,Cubic meter,"427,851"
Wedgewood Pool and Rink,2648,Square feet,100,176410.3303,kWh,17118.81281,Cubic meter,"40,117"
West Mall Rink and Pool,9192,Square feet,100,343172.7118,kWh,43833.06699,Cubic meter,"97,944"
Westmount Park and Pool,1195,Square feet,100,2090.916835,kWh,9923,Cubic meter,"18,846"
