Operation Name,Total Floor Area,Unit,Avg hrs/wk,Electricity,,Natural Gas,,"GHG Emissions
(Kg)"
Bellevue Childcare Centre,6706,Square feet,100,12572.19435,kWh,0,Cubic meter,553
Belmar Park,0,Square feet,100,59.143201,kWh,0,Cubic meter,3
Ben Nobleman,0,Square feet,100,3745.188655,kWh,0,Cubic meter,165
Bendale,8503,Square feet,70,108274.4242,kWh,8801.542857,Cubic meter,"21,399"
Bendale Acres,210327,Square feet,168,3508954.594,kWh,575434.6881,Cubic meter,"1,241,966"
Bennington Heights Clubhouse,1432,Square feet,100,5175.884434,kWh,2447.364374,Cubic meter,"4,853"
Bentworth Park Yard - Bldg 1,5554,Square feet,70,22146.59729,kWh,10421.9625,Cubic meter,"20,672"
Bentworth Park Yard - Bldg 2,6330,Square feet,70,40522.6829,kWh,8199.129861,Cubic meter,"17,279"
Berczy Park,0,Square feet,100,9041.058567,kWh,0,Cubic meter,398
Beresford Park,183,Square feet,100,11648.86106,kWh,0,Cubic meter,513
Bering Yard,53798,Square feet,70,446615.5809,kWh,99113.40852,Cubic meter,"206,975"
Bermondsey Transfer Station,48976,Square feet,70,1226034.723,kWh,7156.992742,Cubic meter,"67,472"
Berner Trail C.C,10204,Square feet,100,130007.2866,kWh,20848.63097,Cubic meter,"45,124"
Berry Rd Sewage Pumping Station,7244,Square feet,168,12227.92915,kWh,0,Cubic meter,538
Bestview Park,0,Square feet,100,10315.07989,kWh,0,Cubic meter,454
Bill Johnston Park,0,Square feet,100,4.1504,kWh,0,Cubic meter,0
Birchmount C.C,46166,Square feet,100,1523471.842,kWh,214261.7389,Cubic meter,"471,987"
Birchmount Parks Yard,15317,Square feet,70,101638.4307,kWh,21446.39394,Cubic meter,"45,006"
Birchmount Residence,5199,Square feet,168,265318.3891,kWh,40303.58529,Cubic meter,"87,848"
Birchmount Stadium,0,Square feet,100,151718.4244,kWh,0,Cubic meter,"6,676"
Birkdale C.C,11733,Square feet,100,255187.053,kWh,8083.571898,Cubic meter,"26,506"
Black Creek,7093,Square feet,70,70053.09236,kWh,2597.412903,Cubic meter,"7,991"
Blantyre Pool,1819,Square feet,100,65502.85211,kWh,6442,Cubic meter,"15,058"
Bloor Gladstone,20627,Square feet,70,329959.1265,kWh,35889.87679,Cubic meter,"82,350"
Bloor Islington Storm Pumping Station,355,Square feet,168,27513.83418,kWh,0,Cubic meter,"1,211"
Bloordale Park,0,Square feet,100,78789.6372,kWh,0,Cubic meter,"3,467"
BlueGold Variation,0,Square feet,100,8269.899651,kWh,0,Cubic meter,364
Bluehaven Park,0,Square feet,100,22699.67217,kWh,0,Cubic meter,999
Bluffers Park,5253,Square feet,100,2797152.407,kWh,0,Cubic meter,"123,075"
Bocci Club,4004,Square feet,100,1804.053219,kWh,194.186484,Cubic meter,446
Bond Park Baseball,1625,Square feet,100,555594.9738,kWh,0,Cubic meter,"24,446"
Borough of North York Park,0,Square feet,100,36879.03375,kWh,1886.882827,Cubic meter,"5,189"
Botanyhill Park,0,Square feet,100,5517.705262,kWh,0,Cubic meter,243
Brentwood,13616,Square feet,70,276524.5923,kWh,5875.233333,Cubic meter,"23,271"
Briar Crest Park,0,Square feet,100,4671.331603,kWh,0,Cubic meter,206
Bridlewood Park,2433,Square feet,100,9711.936,kWh,0,Cubic meter,427
Brimley Parks Yard,2809,Square feet,70,28336.16008,kWh,5204.910802,Cubic meter,"11,084"
Broadlands R.C & A.I.R,10667,Square feet,100,383791.9583,kWh,17668.51181,Cubic meter,"50,280"
Brock West Landfill,10764,Square feet,70,179427.8852,kWh,0,Cubic meter,"7,895"
Brookbanks,7933,Square feet,70,107693.7392,kWh,10294.77739,Cubic meter,"24,196"
Brookdale Park,0,Square feet,100,488.026617,kWh,0,Cubic meter,21
Brule Gardens Sewage Pumping Station,151,Square feet,168,10493.27024,kWh,0,Cubic meter,462
Burrows Hall Community Complex,43185,Square feet,100,839259.8185,kWh,62874.59226,Cubic meter,"155,760"
Burrows Hall Park,0,Square feet,100,10903.86326,kWh,0,Cubic meter,480
Bus Shelters,0,Square feet,168,520592.6047,kWh,0,Cubic meter,"22,906"
Buttonwood Rink,0,Square feet,100,187898.3736,kWh,0,Cubic meter,"8,268"
Caledonia Park Baseball,1765,Square feet,100,30166.17827,kWh,0,Cubic meter,"1,327"
